"offerID"|"name"
"petnutritioncenter_035"|"Blue Buffalo BLUE Life Protection Formula Adult Toy Breed Chicken and Brown Rice Dry Dog Food"
"petnutritioncenter_107"|"Blue Buffalo Life Protection Adult Fish and Brown Rice Recipe Dry Dog Food"
"petnutritioncenter_215"|"Royal Canin Shih Tzu Adult Dry Dog Food"
"petnutritioncenter_216"|"Royal Canin Shih Tzu Puppy Dry Dog Food"
"miscota_289"|"Royal Canin Medium Light Weight Care"
"miscota_239"|"Royal Canin Pug Adult"
"speckspets_032"|"Blue Buffalo  SM BRD PUP CKN/OAT  6LB"
"speckspets_033"|"Blue Buffalo SM BREED SR 6LB"
"speckspets_045"|"Blue Buffalo Wilderness DUCK 24LB"
"speckspets_048"|"Blue Buffalo Wilderness REDMEAT SB 4LB"
"speckspets_052"|"Blue Buffalo Wilderness SM BRD CKN GF 4.5LB"
"petco_011"|"Blue Buffalo Blue Wilderness Large Breed Adult Chicken Recipe Dry Dog Food; 24 lbs."
"petnutritioncenter_223"|"Taste Of The Wild Grain Free Southwest Canyon with Wild Boar Dry Dog Food"
"petnutritioncenter_224"|"Taste Of The Wild High Prairie Canned Dog Food"
"petnutritioncenter_225"|"Taste Of The Wild High Prairie Dry Dog Food"
"petnutritioncenter_226"|"Taste Of The Wild High Prairie Roasted Bison and Venison Puppy Dry Food"
"petnutritioncenter_229"|"Taste Of The Wild Pacific Stream Smoked Salmon Puppy Dry Food"
"petnutritioncenter_230"|"Taste Of The Wild Sierra Mountain Canine Canned Dog Food"
"petnutritioncenter_231"|"Taste Of The Wild Sierra Mountain Dry Dog Food"
"petnutritioncenter_233"|"Taste Of The Wild Wetlands Canned Dog Food"
"petnutritioncenter_234"|"Taste Of The Wild Wetlands Dry Dog Food"
"petco_002"|"Blue Buffalo Blue Life Protection Formula Senior Chicken & Brown Rice Recipe Dry Dog Food; 30 lbs."
"petco_018"|"Blue Buffalo Blue Freedom Grain-Free Small Breed Adult Chicken Recipe Dry Dog Food; 11 lbs."
"petnutritioncenter_221"|"Taste Of The Wild Grain Free Appalachian Valley Small Breed Recipe Dry Dog Food"
"petnutritioncenter_222"|"Taste Of The Wild Grain Free Pine Forest Recipe Dry Dog Food"
"petnutritioncenter_227"|"Taste Of The Wild Pacific Stream Canned Dog Food"
"petnutritioncenter_228"|"Taste Of The Wild Pacific Stream Dry Dog Food"
"petco_065"|"Natural Balance L.I.D. Limited Ingredient Diets Sweet Potato & Fish Small Breed Bites Dog Food; 12 lbs."
"roguevalleypet_162"|"Royal Canin Rottweiler Puppy Recipe Dry Dog Food"
"roguevalleypet_176"|"Taste Of The Wild High Prairie Roasted Bison and Venison Puppy Dry Food"
"petsense_010"|"Natural Balance L.I.D. Limited Ingredient Diets Potato and Duck Small Breed Bites Dry Dog Food"
"petsense_011"|"Natural Balance Limited Ingredients Diet Lamb Meal & Brown Rice Large Breed Dry Dog Food"
"petsense_013"|"Taste Of The Wild High Prairie Roasted Bison and Venison Puppy Dry Food"
"petsense_064"|"Royal Canin Shih Tzu Puppy Dry Dog Food"
"petnutritioncenter_030"|"Blue Buffalo BLUE Freedom Large Breed Adult Beef Recipe Dry Dog Food"
"petnutritioncenter_046"|"Blue Buffalo BLUE Wilderness Rocky Mountain Recipe Small Breed Red Meat Dry Dog Food"
"horseandhound_005"|"Blue Buffalo Life Protection Healthy Weight Adult Chicken and Brown Rice Recipe Dry Dog Food"
"bibita_260"|"Royal Canin Rottweiler Junior"
"megapet_077"|"Royal Canin Medium Puppy 4kg Dry Dog Food"
"megapet_082"|"Royal Canin Mini Puppy 2kg Dry Dog Food"
"megapet_086"|"Royal Canin Poodle Adult Dog 7.5kg Dry Dog Food"
"megapet_089"|"Royal Canin Pug Junior 1.5kg Dry Dog Food"
"megapet_092"|"Royal Canin Rottweiller Adult Dog 12kg Dry Dog Food"
"megapet_101"|"Taste of the Wild Grain Free Canine Pacific Stream 2kg Dry Dog Food"
"megapet_102"|"Taste of the Wild Grain Free Canine Pine Forest 13kg Dry Dog Food"
"megapet_103"|"Taste of the Wild Grain Free Canine Pine Forest 2kg Dry Dog Food"
"megapet_105"|"Taste of the Wild Grain Free Canine Sierra Mountain 2kg Dry Dog Food"
"megapet_108"|"Taste of the Wild Grain Free Canine Southwest Canyon 2kg Dry Dog Food"
"megapet_109"|"Taste of the Wild Grain Free Canine Wetlands 13kg Dry Dog Food"
"megapet_110"|"Taste of the Wild Grain Free Canine Wetlands 2kg Dry Dog Food"
"horseandhound_002"|"Blue Buffalo Life Protection Adult Chicken and Brown Rice Recipe Dry Dog Food"
"horseandhound_006"|"Blue Buffalo Life Protection Large Breed Adult Chicken and Brown Rice Recipe Dry Dog Food"
"horseandhound_007"|"Blue Buffalo Life Protection Large Breed Adult Healthy Weight Chicken and Brown Rice Recipe Dry Dog Food"
