|Comparison_1|Comparison_2|Label_predict
0|petsense_001|petsense_046|False
1|petsense_030|roguevalleypet_072|False
2|petsense_068|roguevalleypet_176|False
3|petsense_078|roguevalleypet_020|False
4|megapet_105|mypetwarehouse_187|True
5|megapet_105|bibita_156|True
6|megapet_104|mypetwarehouse_186|True
7|megapet_104|bibita_224|True
8|bibita_118|mypetwarehouse_179|True
9|bibita_396|mypetwarehouse_188|True
10|bigdogworld_024|miscota_332|True
11|mypetwarehouse_195|megapet_105|False
12|mypetwarehouse_195|bigdogworld_029|True
13|mypetwarehouse_196|megapet_110|True
14|bibita_144|mypetwarehouse_124|True
15|mypetwarehouse_118|megapet_080|True
16|mypetwarehouse_118|miscota_296|True
17|mypetwarehouse_190|megapet_108|True
18|megapet_107|bigdogworld_026|True
19|megapet_107|mypetwarehouse_189|True
20|megapet_088|mypetwarehouse_164|True
21|megapet_088|bibita_136|True
22|cheshirepetsupplies_028|mypetwarehouse_087|True
23|mypetwarehouse_088|megapet_058|True
24|mypetwarehouse_088|cheshirepetsupplies_061|True
25|mypetwarehouse_088|miscota_164|False
26|mypetwarehouse_175|megapet_101|True
27|megapet_098|bigdogworld_020|True
28|megapet_098|bibita_356|True
29|horseandhound_008|petnutritioncenter_115|True
30|horseandhound_008|petsense_039|True
31|petfood_076|dog_131|True
32|petnutritioncenter_221|horseandhound_138|True
33|petnutritioncenter_221|petsense_079|True
34|petnutritioncenter_221|roguevalleypet_172|True
35|petsupplies_050|petfood_012|True
36|petsupplies_050|dog_016|True
37|petsupplies_050|speckspets_011|True
38|petnutritioncenter_215|horseandhound_128|True
39|countrymax_103|roguevalleypet_163|True
40|horseandhound_050|roguevalleypet_092|True
41|petsense_021|healthypetcenter_259|True
42|petco_002|speckspets_010|False
43|dog_115|petfood_059|True
44|petsense_011|dog_101|False
45|roguevalleypet_091|concordpetfoods_132|True
46|healthypetcenter_098|roguevalleypet_026|True
47|petnutritioncenter_106|countrymax_012|True
48|roguevalleypet_043|petfood_022|True
