"offerID"|"name"
"abt_101"|"MSI PS Series Aluminum Silver Laptop Computer"
"abt_117"|"Lenovo ThinkPad X1 Yoga Silver Laptop Computer"
"abt_118"|"Asus ROG Strix SCAR II GL704 Black Gaming Laptop Computer"
"abt_140"|"Lenovo IdeaPad 330 Platinum Gray Notebook Computer"
"abt_24"|"Apple MacBook 12in With 1.2GHz Intel Core M3 Space Grey"
"abt_27"|"Samsung Chromebook Pro Laptop Computer"
"abt_34"|"Asus ZenBook Flip Slate Gray Notebook Computer"
"abt_37"|"Asus ROG Strix Scar GL703 Black Gaming Laptop Computer"
"abt_4"|"Asus Chromebook Flip C302 Silver Laptop Computer"
"abt_40"|"Asus VivoBook S Gold Notebook Computer"
"abt_46"|"Asus ROG Zephyrus M GM501 Black Gaming Laptop Computer"
"abt_5"|"Asus Chromebook C202 Dark Blue/Silver Laptop Computer"
"abt_54"|"Lenovo ThinkPad E480 Black Laptop Computer"
"abt_55"|"Lenovo Flex 6 14.0in Onyx Black 2-In-1 Laptop Computer"
"abt_63"|"Asus ROG Strix GL703 Black Gaming Laptop Computer"
"abt_70"|"MSI GS63VR Stealth Pro-674 Aluminum Black Gaming Laptop Computer"
"abt_82"|"HP EliteBook X360 1030 G2 Silver Notebook Computer"
"abt_83"|"HP EliteBook 840 G4 Silver Notebook Computer"
"abt_89"|"HP Chromebook Anodized Silver Laptop Computer"
"abt_96"|"HP Pavilion Ceramic White Laptop Computer"
"antonline_1005"|"MSI GS73 STEALTH-016 VR Ready 17.3in LCD Gaming Notebook"
"antonline_1032"|"Lenovo ThinkPad X1 Yoga 3rd Gen 20LF000JUS 14in Touchscreen LCD 2 in 1 Ultrabook"
"antonline_1047"|"Asus ZenBook Flip 14 UX461UA-DS51T 14in Touchscreen LCD Notebook"
"antonline_105"|"HP EliteBook 850 G5 15.6in LCD Notebook"
"antonline_1051"|"Dell Latitude 7000 7490 14.1in LCD Notebook"
"antonline_1055"|"Dell Latitude 5590 15.6in Intel Core i7 8th Gen LCD Notebook"
"antonline_1060"|"Dell Latitude 5490 14in LCD Notebook"
"antonline_1061"|"Dell Latitude 5490 14in LCD Notebook"
"antonline_1062"|"Lenovo ThinkPad X380 Yoga 20LH0018US 13.3in Touchscreen LCD 2 in 1 Notebook"
"antonline_1073"|"Lenovo IdeaPad Flex 5-1570 81CA0007US 15.6in Touchscreen LCD 2 in 1 Notebook"
